Date,portfolio_value,daily_returns,portfolio_value_after_tc_5bps,portfolio_value_after_tc_10bps,portfolio_value_after_tc_20bps,portfolio_value_after_tc_50bps
2023-01-03,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-04,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-05,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-06,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-09,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-10,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-11,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-12,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-13,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-16,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-17,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-18,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-19,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-20,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-23,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-24,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-25,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-27,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-30,1.0,0.0,1.0,1.0,1.0,1.0
2023-01-31,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-01,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-02,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-03,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-06,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-07,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-08,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-09,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-10,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-13,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-14,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-15,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-16,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-17,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-20,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-21,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-22,1.0,0.0,1.0,1.0,1.0,1.0
2023-02-23,1.0,0.0,1.0,1.0,1.0,1.0
